name,from_team,team,player_id,note
Delwyn Young,Los Angeles Dodgers,Pittsburgh Pirates,434704,Los Angeles Dodgers traded RF Delwyn Young to Pittsburgh Pirates.
Drew Sutton,Houston Astros,Cincinnati Reds,450300,Houston Astros traded 2B Drew Sutton to Cincinnati Reds.
Blaine Boyer,Atlanta Braves,St. Louis Cardinals,430641,Atlanta Braves traded RHP Blaine Boyer to St. Louis Cardinals for LF Brian Barton.
Brian Barton,St. Louis Cardinals,Atlanta Braves,446382,Atlanta Braves traded RHP Blaine Boyer to St. Louis Cardinals for LF Brian Barton.
Chris Burke,Tacoma Rainiers,San Diego Padres,429663,Tacoma Rainiers traded SS Chris Burke to San Diego Padres.
Logan Kensing,Florida Marlins,Washington Nationals,434137,Potomac Nationals Traded RHP Kyle Gunderson to Jupiter Hammerheads and Florida Marlins Traded RHP Logan Kensing to Washington Nationals.
Ryan Freel,Baltimore Orioles,Chicago Cubs,150472,Iowa Cubs Traded CF Joey Gathright to Norfolk Tides and Baltimore Orioles Traded 3B Ryan Freel to Chicago Cubs.
Eric Hacker,New York Yankees,Pittsburgh Pirates,459345,New York Yankees Traded RHP Eric Hacker to Pittsburgh Pirates and Indianapolis Indians Traded RHP Romulo Sanchez to Scranton/Wilkes-Barre Yankees.
Tony Gwynn Jr.,Nashville Sounds,San Diego Padres,448242,Nashville Sounds Traded CF Tony Gwynn to San Diego Padres and San Diego Padres Traded CF Jody Gerut to Milwaukee Brewers.
Jody Gerut,San Diego Padres,Milwaukee Brewers,425506,Nashville Sounds Traded CF Tony Gwynn to San Diego Padres and San Diego Padres Traded CF Jody Gerut to Milwaukee Brewers.
Ramon Castro,New York Mets,Chicago White Sox,135783,New York Mets traded C Ramon Castro to Chicago White Sox.
Lance Broadway,Chicago White Sox,New York Mets,473560,Chicago White Sox traded RHP Lance Broadway to New York Mets.
Charlie Morton,Atlanta Braves,Pittsburgh Pirates,450203,Atlanta Braves traded RHP Charlie Morton to Pittsburgh Pirates.
Nate McLouth,Pittsburgh Pirates,Atlanta Braves,434661,Pittsburgh Pirates traded CF Nate McLouth to Atlanta Braves.
Jason Grilli,Colorado Rockies,Texas Rangers,276351,Colorado Rockies traded RHP Jason Grilli to Texas Rangers.
Colt Morton,Lake Elsinore Storm,Seattle Mariners,451803,Lake Elsinore Storm traded C Colt Morton to Seattle Mariners.
Jose Veras,New York Yankees,Cleveland Indians,407842,New York Yankees traded RHP Jose Veras to Cleveland Indians.
Chris Perez,St. Louis Cardinals,Cleveland Indians,453198,St. Louis Cardinals traded Chris Perez to Cleveland Indians.
Mark DeRosa,Cleveland Indians,St. Louis Cardinals,136660,Cleveland Indians traded 3B Mark DeRosa to St. Louis Cardinals.
Eric Hinske,Pittsburgh Pirates,New York Yankees,400134,Pittsburgh Pirates traded RF Eric Hinske to New York Yankees.
Lastings Milledge,Washington Nationals,Pittsburgh Pirates,451186,Pittsburgh Pirates traded CF Nyjer Morgan and LHP Sean Burnett to Washington Nationals for RHP Joel Hanrahan and LF Lastings Milledge.
Joel Hanrahan,Washington Nationals,Pittsburgh Pirates,430629,Pittsburgh Pirates traded CF Nyjer Morgan and LHP Sean Burnett to Washington Nationals for RHP Joel Hanrahan and LF Lastings Milledge.
Nyjer Morgan,Pittsburgh Pirates,Washington Nationals,460579,Pittsburgh Pirates traded CF Nyjer Morgan and LHP Sean Burnett to Washington Nationals for RHP Joel Hanrahan and LF Lastings Milledge.
Sean Burnett,Pittsburgh Pirates,Washington Nationals,430634,Pittsburgh Pirates traded CF Nyjer Morgan and LHP Sean Burnett to Washington Nationals for RHP Joel Hanrahan and LF Lastings Milledge.
Jon Meloan,Cleveland Indians,Tampa Bay Rays,459974,Cleveland Indians traded RHP Jon Meloan to Tampa Bay Rays.
Jeff Baker,Colorado Rockies,Chicago Cubs,425557,Colorado Rockies traded 3B Jeff Baker to Chicago Cubs.
Ryan Freel,Chicago Cubs,Kansas City Royals,150472,Chicago Cubs traded Ryan Freel to Kansas City Royals.
Ryan Webb,Oakland Athletics,San Diego Padres,444436,Oakland Athletics traded RHP Ryan Webb to San Diego Padres.
Scott Hairston,San Diego Padres,Oakland Athletics,430668,San Diego Padres traded LF Scott Hairston to Oakland Athletics.
Ramon Pena,Arizona Diamondbacks,Chicago White Sox,430963,Arizona Diamondbacks traded RHP Ramon Pena to Chicago White Sox.
Brandon Allen,Chicago White Sox,Arizona Diamondbacks,450315,Chicago White Sox traded 1B Brandon Allen to Arizona Diamondbacks.
Ryan Church,New York Mets,Atlanta Braves,425508,New York Mets traded RF Ryan Church to Atlanta Braves.
Yuniesky Betancourt,Seattle Mariners,Kansas City Royals,435358,Northwest Arkansas Naturals Traded RHP Dan Cortes to West Tenn Diamond Jaxx; Burlington Bees Traded LHP Derrick Saito to Clinton LumberKings and Seattle Mariners Traded SS Yuniesky Betancourt to Kansas City Royals.
Jeff Francoeur,Atlanta Braves,New York Mets,425796,Atlanta Braves traded RF Jeff Francoeur to New York Mets.
Jack Hannahan,Oakland Athletics,Seattle Mariners,435219,West Tenn Diamond Jaxx Traded RHP Justin Souza to Midland RockHounds and Oakland Athletics Traded 3B Jack Hannahan to Seattle Mariners.
Felipe Lopez,Arizona Diamondbacks,Milwaukee Brewers,150479,Arizona Diamondbacks Traded 2B Felipe Lopez to Milwaukee Brewers; Brevard County Manatees Traded Roque Mercedes to Diamondbacks Organization and Nashville Sounds Traded LF Cole Gillespie to Reno Aces.
Oscar Salazar,Baltimore Orioles,San Diego Padres,400073,Baltimore Orioles traded LF Oscar Salazar to San Diego Padres.
Cla Meredith,San Diego Padres,Baltimore Orioles,448592,San Diego Padres traded Cla Meredith to Baltimore Orioles.
Julio Lugo,Boston Red Sox,St. Louis Cardinals,150061,Boston Red Sox traded SS Julio Lugo to St. Louis Cardinals.
Chris Duncan,St. Louis Cardinals,Boston Red Sox,408219,St. Louis Cardinals traded LF Chris Duncan to Boston Red Sox.
Argenis Diaz,Boston Red Sox,Pittsburgh Pirates,469810,Boston Red Sox Traded SS Argenis Diaz to Pittsburgh Pirates; Pittsburgh Pirates Traded 1B Adam LaRoche to Boston Red Sox and Greenville Drive Traded RHP Hunter Strickland to West Virginia Power.
Adam LaRoche,Pittsburgh Pirates,Boston Red Sox,425560,Boston Red Sox Traded SS Argenis Diaz to Pittsburgh Pirates; Pittsburgh Pirates Traded 1B Adam LaRoche to Boston Red Sox and Greenville Drive Traded RHP Hunter Strickland to West Virginia Power.
Rafael Betancourt,Cleveland Indians,Colorado Rockies,429783,Cleveland Indians Traded RHP Rafael Betancourt to Colorado Rockies and Modesto Nuts Traded RHP Connor Graham to Indians Organization.
Clayton Mortensen,St. Louis Cardinals,Oakland Athletics,489150,St. Louis Cardinals traded RHP Clayton Mortensen to Oakland Athletics.
Matt Holliday,Oakland Athletics,St. Louis Cardinals,407812,Oakland Athletics traded LF Matt Holliday to St. Louis Cardinals.
Jess Todd,St. Louis Cardinals,Cleveland Indians,519357,St. Louis Cardinals traded RHP Jess Todd to Cleveland Indians.
Ryan Garko,Cleveland Indians,San Francisco Giants,434939,Cleveland Indians traded 1B Ryan Garko to San Francisco Giants.
Sean Gallagher,Oakland Athletics,San Diego Padres,451595,Oakland Athletics traded RHP Sean Gallagher to San Diego Padres.
Mark Kotsay,Boston Red Sox,Chicago White Sox,117276,Boston Red Sox traded DH Mark Kotsay to Chicago White Sox.
Brian Anderson,Chicago White Sox,Boston Red Sox,435042,Chicago White Sox traded CF Brian Anderson to Boston Red Sox.
Cliff Lee,Cleveland Indians,Philadelphia Phillies,424324,Cleveland Indians traded LHP Cliff Lee to Philadelphia Phillies.
Jack Wilson,Pittsburgh Pirates,Seattle Mariners,333292,Seattle Mariners Traded 1B Jeff Clement and SS Ronny Cedeno to Pittsburgh Pirates; Clinton LumberKings Traded RHP Aaron Pribanic and RHP Brett Lorin to West Virginia Power; High Desert Mavericks Traded RHP Nate Adcock to Lynchburg Hillcats and Pittsburgh Pirates Traded RHP Ian Snell and SS Jack Wilson to Seattle Mariners.
Ian Snell,Pittsburgh Pirates,Seattle Mariners,430636,Seattle Mariners Traded 1B Jeff Clement and SS Ronny Cedeno to Pittsburgh Pirates; Clinton LumberKings Traded RHP Aaron Pribanic and RHP Brett Lorin to West Virginia Power; High Desert Mavericks Traded RHP Nate Adcock to Lynchburg Hillcats and Pittsburgh Pirates Traded RHP Ian Snell and SS Jack Wilson to Seattle Mariners.
Wladimir Balentien,Seattle Mariners,Cincinnati Reds,434605,Seattle Mariners traded RF Wladimir Balentien to Cincinnati Reds for RHP Robert Manuel.
Ronny Cedeno,Seattle Mariners,Pittsburgh Pirates,430592,Seattle Mariners Traded 1B Jeff Clement and SS Ronny Cedeno to Pittsburgh Pirates; Clinton LumberKings Traded RHP Aaron Pribanic and RHP Brett Lorin to West Virginia Power; High Desert Mavericks Traded RHP Nate Adcock to Lynchburg Hillcats and Pittsburgh Pirates Traded RHP Ian Snell and SS Jack Wilson to Seattle Mariners.
Robert Manuel,Cincinnati Reds,Seattle Mariners,490008,Seattle Mariners traded RF Wladimir Balentien to Cincinnati Reds for RHP Robert Manuel.
Ben Francisco,Cleveland Indians,Philadelphia Phillies,450204,Cleveland Indians traded LF Ben Francisco to Philadelphia Phillies.
Jeff Clement,Seattle Mariners,Pittsburgh Pirates,459943,Seattle Mariners Traded 1B Jeff Clement and SS Ronny Cedeno to Pittsburgh Pirates; Clinton LumberKings Traded RHP Aaron Pribanic and RHP Brett Lorin to West Virginia Power; High Desert Mavericks Traded RHP Nate Adcock to Lynchburg Hillcats and Pittsburgh Pirates Traded RHP Ian Snell and SS Jack Wilson to Seattle Mariners.
Freddy Sanchez,Pittsburgh Pirates,San Francisco Giants,408108,Pittsburgh Pirates traded 2B Freddy Sanchez to San Francisco Giants.
Kevin Hart,Chicago Cubs,Pittsburgh Pirates,453954,Chicago Cubs traded RHP Kevin Hart to Pittsburgh Pirates.
George Sherrill,Baltimore Orioles,Los Angeles Dodgers,430941,Baltimore Orioles traded LHP George Sherrill to Los Angeles Dodgers.
Josh Anderson,Detroit Tigers,Kansas City Royals,461811,Detroit Tigers traded LF Josh Anderson to Kansas City Royals.
Ryan Mattheus,Colorado Rockies,Washington Nationals,458919,Washington Nationals Traded LHP Joe Beimel to Colorado Rockies; Colorado Rockies Traded RHP Ryan Mattheus to Washington Nationals and Asheville Tourists Traded RHP Robinson Fabian to Hagerstown Suns.
Jerry Hairston,Cincinnati Reds,New York Yankees,150020,Charleston RiverDogs Traded C Chase Weems to Reds Organization and Cincinnati Reds Traded 3B Jerry Hairston to New York Yankees.
Josh Roenicke,Cincinnati Reds,Toronto Blue Jays,502158,Cincinnati Reds Traded 3B Edwin Encarnacion and RHP Josh Roenicke to Toronto Blue Jays; Toronto Blue Jays Traded 3B Scott Rolen to Cincinnati Reds and Louisville Bats Traded RHP Zach Stewart to Blue Jays Organization.
Joe Beimel,Washington Nationals,Colorado Rockies,346847,Washington Nationals Traded LHP Joe Beimel to Colorado Rockies; Colorado Rockies Traded RHP Ryan Mattheus to Washington Nationals and Asheville Tourists Traded RHP Robinson Fabian to Hagerstown Suns.
Jarrod Washburn,Seattle Mariners,Detroit Tigers,132220,Seattle Mariners Traded LHP Jarrod Washburn to Detroit Tigers; Lakeland Flying Tigers Traded LHP Mauricio Robles to High Desert Mavericks and Detroit Tigers Traded LHP Luke French to Seattle Mariners.
Luke French,Detroit Tigers,Seattle Mariners,448287,Seattle Mariners Traded LHP Jarrod Washburn to Detroit Tigers; Lakeland Flying Tigers Traded LHP Mauricio Robles to High Desert Mavericks and Detroit Tigers Traded LHP Luke French to Seattle Mariners.
Claudio Vargas,Los Angeles Dodgers,Milwaukee Brewers,282567,Huntsville Stars Traded RF Vinny Rottino to Chattanooga Lookouts and Los Angeles Dodgers Traded RHP Claudio Vargas to Milwaukee Brewers.
Orlando Cabrera,Oakland Athletics,Minnesota Twins,111851,Oakland Athletics Traded SS Orlando Cabrera to Minnesota Twins and Beloit Snappers Traded Tyler Ladendorf to Athletics Organization.
Edwin Encarnacion,Cincinnati Reds,Toronto Blue Jays,429665,Cincinnati Reds Traded 3B Edwin Encarnacion and RHP Josh Roenicke to Toronto Blue Jays; Toronto Blue Jays Traded 3B Scott Rolen to Cincinnati Reds and Louisville Bats Traded RHP Zach Stewart to Blue Jays Organization.
Casey Kotchman,Atlanta Braves,Boston Red Sox,425773,Atlanta Braves traded 1B Casey Kotchman to Boston Red Sox for 1B Adam LaRoche.
Adam LaRoche,Boston Red Sox,Atlanta Braves,425560,Atlanta Braves traded 1B Casey Kotchman to Boston Red Sox for 1B Adam LaRoche.
Victor Martinez,Cleveland Indians,Boston Red Sox,400121,Cleveland Indians Traded C Victor Martinez to Boston Red Sox; Boston Red Sox Traded RHP Justin Masterson to Cleveland Indians; Salem Red Sox Traded RHP Bryan Price to Indians Organization and Greenville Drive Traded LHP Nick Hagadone to Indians Organization.
Justin Masterson,Boston Red Sox,Cleveland Indians,475416,Cleveland Indians Traded C Victor Martinez to Boston Red Sox; Boston Red Sox Traded RHP Justin Masterson to Cleveland Indians; Salem Red Sox Traded RHP Bryan Price to Indians Organization and Greenville Drive Traded LHP Nick Hagadone to Indians Organization.
Nick Johnson,Washington Nationals,Florida Marlins,276376,Washington Nationals Traded 1B Nick Johnson to Florida Marlins and Jacksonville Suns Traded LHP Aaron Thompson to Nationals Organization.
Scott Rolen,Toronto Blue Jays,Cincinnati Reds,121409,Cincinnati Reds Traded 3B Edwin Encarnacion and RHP Josh Roenicke to Toronto Blue Jays; Toronto Blue Jays Traded 3B Scott Rolen to Cincinnati Reds and Louisville Bats Traded RHP Zach Stewart to Blue Jays Organization.
Adam Russell,Chicago White Sox,San Diego Padres,452240,"Kannapolis Intimidators Traded RHP Dexter Carter to Fort Wayne TinCaps; Chicago White Sox Traded LHP Aaron Poreda, Adam Russell and LHP Clayton Richard to San Diego Padres and San Diego Padres Traded RHP Jake Peavy to Chicago White Sox."
Clayton Richard,Chicago White Sox,San Diego Padres,453385,"Kannapolis Intimidators Traded RHP Dexter Carter to Fort Wayne TinCaps; Chicago White Sox Traded LHP Aaron Poreda, Adam Russell and LHP Clayton Richard to San Diego Padres and San Diego Padres Traded RHP Jake Peavy to Chicago White Sox."
Aaron Poreda,Chicago White Sox,San Diego Padres,519145,"Kannapolis Intimidators Traded RHP Dexter Carter to Fort Wayne TinCaps; Chicago White Sox Traded LHP Aaron Poreda, Adam Russell and LHP Clayton Richard to San Diego Padres and San Diego Padres Traded RHP Jake Peavy to Chicago White Sox."
Jake Peavy,San Diego Padres,Chicago White Sox,408241,"Kannapolis Intimidators Traded RHP Dexter Carter to Fort Wayne TinCaps; Chicago White Sox Traded LHP Aaron Poreda, Adam Russell and LHP Clayton Richard to San Diego Padres and San Diego Padres Traded RHP Jake Peavy to Chicago White Sox."
Anderson Hernandez,Washington Nationals,New York Mets,435038,St. Lucie Mets Traded 2B Greg Veloz to Potomac Nationals and Washington Nationals Traded 2B Anderson Hernandez to New York Mets.
